season_end_year,player_id,player_name,last_game_date,last_team_abbrev,last_opp_abbrev,last_home_away,games_total_rows,games_played_rows,dnp_rows,ast_avg_season,ast_ge10_hits_10,ast_ge10_hits_20,ast_ge10_hits_5,ast_ge10_rate_10,ast_ge10_rate_20,ast_ge10_rate_5,ast_ge12_hits_10,ast_ge12_hits_20,ast_ge12_hits_5,ast_ge12_rate_10,ast_ge12_rate_20,ast_ge12_rate_5,ast_ge14_hits_10,ast_ge14_hits_20,ast_ge14_hits_5,ast_ge14_rate_10,ast_ge14_rate_20,ast_ge14_rate_5,ast_ge2_hits_10,ast_ge2_hits_20,ast_ge2_hits_5,ast_ge2_rate_10,ast_ge2_rate_20,ast_ge2_rate_5,ast_ge4_hits_10,ast_ge4_hits_20,ast_ge4_hits_5,ast_ge4_rate_10,ast_ge4_rate_20,ast_ge4_rate_5,ast_ge6_hits_10,ast_ge6_hits_20,ast_ge6_hits_5,ast_ge6_rate_10,ast_ge6_rate_20,ast_ge6_rate_5,ast_ge8_hits_10,ast_ge8_hits_20,ast_ge8_hits_5,ast_ge8_rate_10,ast_ge8_rate_20,ast_ge8_rate_5,ast_min_10,ast_min_20,ast_min_5,gp_10,gp_20,gp_5,last_ast,last_min,last_pts,last_reb,load_label_10,load_label_20,load_label_5,load_min_delta_10,load_min_delta_20,load_min_delta_5,load_pts_delta_10,load_pts_delta_20,load_pts_delta_5,load_score_10,load_score_20,load_score_5,min_avg_10,min_avg_20,min_avg_5,min_ge24_hits_10,min_ge24_hits_20,min_ge24_hits_5,min_ge24_rate_10,min_ge24_rate_20,min_ge24_rate_5,min_ge28_hits_10,min_ge28_hits_20,min_ge28_hits_5,min_ge28_rate_10,min_ge28_rate_20,min_ge28_rate_5,min_ge30_hits_10,min_ge30_hits_20,min_ge30_hits_5,min_ge30_rate_10,min_ge30_rate_20,min_ge30_rate_5,min_ge32_hits_10,min_ge32_hits_20,min_ge32_hits_5,min_ge32_rate_10,min_ge32_rate_20,min_ge32_rate_5,min_min_10,min_min_20,min_min_5,pts_avg_season,pts_ge10_hits_10,pts_ge10_hits_20,pts_ge10_hits_5,pts_ge10_rate_10,pts_ge10_rate_20,pts_ge10_rate_5,pts_ge15_hits_10,pts_ge15_hits_20,pts_ge15_hits_5,pts_ge15_rate_10,pts_ge15_rate_20,pts_ge15_rate_5,pts_ge20_hits_10,pts_ge20_hits_20,pts_ge20_hits_5,pts_ge20_rate_10,pts_ge20_rate_20,pts_ge20_rate_5,pts_ge25_hits_10,pts_ge25_hits_20,pts_ge25_hits_5,pts_ge25_rate_10,pts_ge25_rate_20,pts_ge25_rate_5,pts_ge30_hits_10,pts_ge30_hits_20,pts_ge30_hits_5,pts_ge30_rate_10,pts_ge30_rate_20,pts_ge30_rate_5,pts_ge35_hits_10,pts_ge35_hits_20,pts_ge35_hits_5,pts_ge35_rate_10,pts_ge35_rate_20,pts_ge35_rate_5,pts_min_10,pts_min_20,pts_min_5,reb_avg_season,reb_ge10_hits_10,reb_ge10_hits_20,reb_ge10_hits_5,reb_ge10_rate_10,reb_ge10_rate_20,reb_ge10_rate_5,reb_ge12_hits_10,reb_ge12_hits_20,reb_ge12_hits_5,reb_ge12_rate_10,reb_ge12_rate_20,reb_ge12_rate_5,reb_ge14_hits_10,reb_ge14_hits_20,reb_ge14_hits_5,reb_ge14_rate_10,reb_ge14_rate_20,reb_ge14_rate_5,reb_ge2_hits_10,reb_ge2_hits_20,reb_ge2_hits_5,reb_ge2_rate_10,reb_ge2_rate_20,reb_ge2_rate_5,reb_ge4_hits_10,reb_ge4_hits_20,reb_ge4_hits_5,reb_ge4_rate_10,reb_ge4_rate_20,reb_ge4_rate_5,reb_ge6_hits_10,reb_ge6_hits_20,reb_ge6_hits_5,reb_ge6_rate_10,reb_ge6_rate_20,reb_ge6_rate_5,reb_ge8_hits_10,reb_ge8_hits_20,reb_ge8_hits_5,reb_ge8_rate_10,reb_ge8_rate_20,reb_ge8_rate_5,reb_min_10,reb_min_20,reb_min_5,season_avg_ast,season_avg_pts,season_avg_reb,travel_last3
2026,4431678,Tyrese Maxey,2025-12-20,PHI,DAL,H,25,25,0,7.12,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,10,20,5,1.0,1.0,1.0,9,18,4,0.9,0.9,0.8,6,14,2,0.6,0.7,0.4,3,7,2,0.3,0.35,0.4,2.0,2.0,2.0,10,20,5,4.0,41.0,38.0,2.0,Normal,Normal,Normal,-1.3200000000000003,-0.8200000000000003,-0.9200000000000017,-2.5799999999999983,-0.879999999999999,-3.0799999999999983,-1.6979999999999995,-0.8379999999999999,-1.5680000000000005,38.6,39.1,39.0,10,20,5,1.0,1.0,1.0,10,20,5,1.0,1.0,1.0,9,19,5,0.9,0.95,1.0,9,19,5,0.9,0.95,1.0,29.0,29.0,37.0,31.68,10,20,5,1.0,1.0,1.0,9,19,4,0.9,0.95,0.8,9,19,4,0.9,0.95,0.8,7,15,4,0.7,0.75,0.8,5,11,3,0.5,0.55,0.6,4,7,2,0.4,0.35,0.4,12.0,12.0,12.0,4.52,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,9,19,5,0.9,0.95,1.0,5,13,2,0.5,0.65,0.4,3,6,1,0.3,0.3,0.2,1,1,0,0.1,0.05,0.0,1.0,1.0,2.0,7.12,31.68,4.52,vs @ vs
2026,4594268,Anthony Edwards,2025-12-21,MIN,MIL,H,22,22,0,3.8636363636363638,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,10,18,5,1.0,0.9,1.0,8,14,3,0.8,0.7,0.6,2,4,1,0.2,0.2,0.2,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,10,20,5,6.0,37.0,24.0,4.0,HIGH,Normal,Normal,3.7181818181818187,-0.23181818181817704,2.1181818181818173,2.1818181818181834,-0.7681818181818159,-5.118181818181817,3.2572727272727278,-0.39272727272726865,-0.05272727272727318,38.4,34.45,36.8,10,19,5,1.0,0.95,1.0,10,18,5,1.0,0.9,1.0,10,16,5,1.0,0.8,1.0,9,14,4,0.9,0.7,0.8,31.0,3.0,31.0,28.318181818181817,10,19,5,1.0,0.95,1.0,9,17,4,0.9,0.85,0.8,8,14,3,0.8,0.7,0.6,7,13,2,0.7,0.65,0.4,6,10,1,0.6,0.5,0.2,4,7,1,0.4,0.35,0.2,11.0,5.0,11.0,5.181818181818182,1,1,1,0.1,0.05,0.2,1,1,1,0.1,0.05,0.2,0,0,0,0.0,0.0,0.0,10,19,5,1.0,0.95,1.0,8,15,5,0.8,0.75,1.0,6,8,4,0.6,0.4,0.8,3,4,2,0.3,0.2,0.4,2.0,1.0,4.0,3.8636363636363638,28.318181818181817,5.181818181818182,vs vs vs
2026,4594327,Keegan Murray,2025-12-21,SAC,HOU,H,14,14,0,1.5,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,4,6,2,0.4,0.42857142857142855,0.4,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10,14,5,0.0,47.0,26.0,4.0,Normal,Normal,Normal,0.11428571428571388,0.0,1.1142857142857139,-1.1571428571428584,0.0,0.7428571428571438,-0.2671428571428578,0.0,1.002857142857143,38.4,38.285714285714285,39.4,10,14,5,1.0,1.0,1.0,10,14,5,1.0,1.0,1.0,9,13,4,0.9,0.9285714285714286,0.8,9,13,4,0.9,0.9285714285714286,0.8,28.0,28.0,28.0,15.857142857142858,8,12,5,0.8,0.8571428571428571,1.0,6,9,4,0.6,0.6428571428571429,0.8,2,3,1,0.2,0.21428571428571427,0.2,1,2,1,0.1,0.14285714285714285,0.2,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,5.0,5.0,10.0,6.785714285714286,3,4,0,0.3,0.2857142857142857,0.0,0,1,0,0.0,0.07142857142857142,0.0,0,1,0,0.0,0.07142857142857142,0.0,10,14,5,1.0,1.0,1.0,8,11,4,0.8,0.7857142857142857,0.8,6,8,3,0.6,0.5714285714285714,0.6,4,6,1,0.4,0.42857142857142855,0.2,2.0,2.0,3.0,1.5,15.857142857142858,6.785714285714286,vs vs @
2026,4684740,Amen Thompson,2025-12-21,HOU,SAC,A,26,26,0,5.346153846153846,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,9,19,5,0.9,0.95,1.0,8,14,5,0.8,0.7,1.0,7,11,4,0.7,0.55,0.8,3,5,2,0.3,0.25,0.4,1.0,1.0,4.0,10,20,5,8.0,45.0,18.0,9.0,Normal,Normal,HIGH,0.8615384615384585,0.8615384615384585,4.761538461538457,0.1615384615384592,0.1615384615384592,0.6615384615384592,0.6515384615384586,0.6515384615384586,3.5315384615384575,37.9,37.9,41.8,10,20,5,1.0,1.0,1.0,10,20,5,1.0,1.0,1.0,10,20,5,1.0,1.0,1.0,9,19,5,0.9,0.95,1.0,31.0,31.0,38.0,17.53846153846154,8,18,5,0.8,0.9,1.0,7,12,4,0.7,0.6,0.8,5,8,2,0.5,0.4,0.4,1,3,0,0.1,0.15,0.0,1,1,0,0.1,0.05,0.0,0,0,0,0.0,0.0,0.0,5.0,5.0,14.0,7.230769230769231,2,5,1,0.2,0.25,0.2,2,3,1,0.2,0.15,0.2,0,1,0,0.0,0.05,0.0,10,19,5,1.0,0.95,1.0,10,18,5,1.0,0.9,1.0,8,16,4,0.8,0.8,0.8,6,11,3,0.6,0.55,0.6,4.0,1.0,4.0,5.346153846153846,17.53846153846154,7.230769230769231,@ @ @
2026,3202,Kevin Durant,2025-12-21,HOU,SAC,A,24,24,0,4.125,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,10,19,5,1.0,0.95,1.0,7,12,3,0.7,0.6,0.6,4,6,2,0.4,0.3,0.4,3,3,1,0.3,0.15,0.2,2.0,1.0,2.0,10,20,5,8.0,48.0,24.0,10.0,Normal,Normal,HIGH,0.9083333333333385,0.05833333333333712,5.608333333333334,1.0666666666666664,-0.43333333333333357,0.26666666666666927,0.9558333333333369,-0.08916666666666408,4.005833333333334,37.7,36.85,42.4,10,20,5,1.0,1.0,1.0,10,20,5,1.0,1.0,1.0,10,20,5,1.0,1.0,1.0,8,16,5,0.8,0.8,1.0,30.0,30.0,37.0,25.333333333333332,10,20,5,1.0,1.0,1.0,10,18,5,1.0,0.9,1.0,9,17,4,0.9,0.85,0.8,7,11,3,0.7,0.55,0.6,3,6,2,0.3,0.3,0.4,0,1,0,0.0,0.05,0.0,16.0,11.0,16.0,5.0,1,1,1,0.1,0.05,0.2,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,8,17,4,0.8,0.85,0.8,7,14,4,0.7,0.7,0.8,5,7,3,0.5,0.35,0.6,2,3,1,0.2,0.15,0.2,1.0,1.0,1.0,4.125,25.333333333333332,5.0,@ @ @
2026,4066457,Austin Reaves,2025-12-10,LAL,SA,H,21,21,0,6.714285714285714,1,4,1,0.1,0.2,0.2,0,1,0,0.0,0.05,0.0,0,1,0,0.0,0.05,0.0,9,19,5,0.9,0.95,1.0,6,15,4,0.6,0.75,0.8,4,11,3,0.4,0.55,0.6,3,8,2,0.3,0.4,0.4,1.0,1.0,3.0,10,20,5,7.0,40.0,15.0,8.0,Normal,Normal,Normal,0.6428571428571459,0.04285714285714448,0.34285714285714874,-0.5619047619047635,0.08809523809523867,-3.361904761904764,0.2814285714285731,0.05642857142857273,-0.768571428571425,37.5,36.9,37.2,10,20,5,1.0,1.0,1.0,10,20,5,1.0,1.0,1.0,10,19,5,1.0,0.95,1.0,10,18,5,1.0,0.9,1.0,33.0,29.0,33.0,27.761904761904763,10,20,5,1.0,1.0,1.0,9,18,4,0.9,0.9,0.8,7,16,2,0.7,0.8,0.4,6,13,2,0.6,0.65,0.4,5,8,2,0.5,0.4,0.4,3,5,2,0.3,0.25,0.4,11.0,11.0,11.0,5.571428571428571,1,2,0,0.1,0.1,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,10,19,5,1.0,0.95,1.0,9,18,4,0.9,0.9,0.8,4,7,1,0.4,0.35,0.2,4,5,1,0.4,0.25,0.2,3.0,1.0,3.0,6.714285714285714,27.761904761904763,5.571428571428571,vs @ @
2026,4701230,Jalen Johnson,2025-12-21,ATL,CHI,H,29,27,2,8.185185185185185,5,7,2,0.5,0.35,0.4,5,6,2,0.5,0.3,0.4,1,2,0,0.1,0.1,0.0,10,20,5,1.0,1.0,1.0,10,20,5,1.0,1.0,1.0,10,19,5,1.0,0.95,1.0,7,13,4,0.7,0.65,0.8,6.0,4.0,6.0,10,20,5,9.0,36.0,36.0,11.0,MED,Normal,Normal,2.2148148148148152,1.164814814814818,-0.18518518518518334,3.9222222222222207,1.12222222222222,1.62222222222222,2.7270370370370367,1.1520370370370387,0.3570370370370376,37.4,36.35,35.0,10,20,5,1.0,1.0,1.0,10,19,5,1.0,0.95,1.0,10,19,5,1.0,0.95,1.0,9,17,4,0.9,0.85,0.8,31.0,24.0,31.0,23.77777777777778,10,19,5,1.0,0.95,1.0,9,18,4,0.9,0.9,0.8,7,14,2,0.7,0.7,0.4,6,11,2,0.6,0.55,0.4,4,5,2,0.4,0.25,0.4,3,3,2,0.3,0.15,0.4,12.0,7.0,12.0,10.518518518518519,10,16,5,1.0,0.8,1.0,5,7,0,0.5,0.35,0.0,2,3,0,0.2,0.15,0.0,10,20,5,1.0,1.0,1.0,10,20,5,1.0,1.0,1.0,10,20,5,1.0,1.0,1.0,10,18,5,1.0,0.9,1.0,10.0,7.0,10.0,8.185185185185185,23.77777777777778,10.518518518518519,vs vs @
2026,3934672,Jalen Brunson,2025-12-21,NY,MIA,H,27,27,0,6.62962962962963,1,4,0,0.1,0.2,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,10,20,5,1.0,1.0,1.0,10,18,5,1.0,0.9,1.0,7,13,5,0.7,0.65,1.0,6,9,4,0.6,0.45,0.8,4.0,3.0,7.0,10,20,5,8.0,38.0,47.0,3.0,MED,Normal,MED,1.8185185185185162,0.518518518518519,2.318518518518516,0.8370370370370388,-0.01296296296296262,2.837037037037039,1.5240740740740728,0.35907407407407455,2.474074074074073,37.3,36.0,37.8,10,20,5,1.0,1.0,1.0,10,20,5,1.0,1.0,1.0,10,19,5,1.0,0.95,1.0,9,18,5,0.9,0.9,1.0,31.0,29.0,34.0,28.962962962962962,10,20,5,1.0,1.0,1.0,10,20,5,1.0,1.0,1.0,9,17,5,0.9,0.85,1.0,8,15,4,0.8,0.75,0.8,5,10,2,0.5,0.5,0.4,3,4,2,0.3,0.2,0.4,15.0,15.0,22.0,3.4074074074074074,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,10,18,5,1.0,0.9,1.0,4,7,4,0.4,0.35,0.8,2,4,2,0.2,0.2,0.4,0,0,0,0.0,0.0,0.0,2.0,0.0,3.0,6.62962962962963,28.962962962962962,3.4074074074074074,vs vs @
2026,4432639,Jabari Smith Jr.,2025-12-21,HOU,SAC,A,26,25,1,2.04,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,8,15,5,0.8,0.75,1.0,2,3,2,0.2,0.15,0.4,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,2.0,10,20,5,2.0,36.0,18.0,5.0,MED,Normal,HIGH,1.9200000000000017,0.1700000000000017,4.920000000000002,0.8599999999999994,0.16000000000000014,1.5599999999999987,1.602000000000001,0.16700000000000123,3.9120000000000004,36.6,34.85,39.6,10,20,5,1.0,1.0,1.0,9,17,5,0.9,0.85,1.0,8,16,5,0.8,0.8,1.0,8,13,5,0.8,0.65,1.0,27.0,27.0,36.0,15.64,10,19,5,1.0,0.95,1.0,7,14,4,0.7,0.7,0.8,2,4,1,0.2,0.2,0.2,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,12.0,5.0,12.0,7.0,4,6,4,0.4,0.3,0.8,1,1,1,0.1,0.05,0.2,0,0,0,0.0,0.0,0.0,10,20,5,1.0,1.0,1.0,8,18,5,0.8,0.9,1.0,7,14,4,0.7,0.7,0.8,6,12,4,0.6,0.6,0.8,2.0,2.0,5.0,2.04,15.64,7.0,@ @ @
2026,4683021,Deni Avdija,2025-12-22,POR,DET,H,29,29,0,6.517241379310345,3,5,1,0.3,0.25,0.2,1,2,0,0.1,0.1,0.0,1,1,0,0.1,0.05,0.0,10,19,5,1.0,0.95,1.0,10,18,5,1.0,0.9,1.0,9,13,4,0.9,0.65,0.8,5,8,3,0.5,0.4,0.6,5.0,1.0,5.0,10,20,5,9.0,39.0,18.0,8.0,Normal,Normal,Normal,1.6724137931034448,0.472413793103442,2.3724137931034477,-0.08275862068965623,0.0672413793103459,-1.682758620689654,1.1458620689655143,0.35086206896551314,1.1558620689655172,36.5,35.3,37.2,10,20,5,1.0,1.0,1.0,10,19,5,1.0,0.95,1.0,10,18,5,1.0,0.9,1.0,9,15,5,0.9,0.75,1.0,31.0,24.0,32.0,25.482758620689655,10,20,5,1.0,1.0,1.0,10,19,5,1.0,0.95,1.0,7,15,3,0.7,0.75,0.6,6,12,2,0.6,0.6,0.4,3,6,1,0.3,0.3,0.2,2,3,1,0.2,0.15,0.2,16.0,11.0,16.0,7.103448275862069,1,3,0,0.1,0.15,0.0,1,1,0,0.1,0.05,0.0,1,1,0,0.1,0.05,0.0,10,19,5,1.0,0.95,1.0,10,19,5,1.0,0.95,1.0,9,14,4,0.9,0.7,0.8,5,7,1,0.5,0.35,0.2,5.0,1.0,5.0,6.517241379310345,25.482758620689655,7.103448275862069,vs @ vs
